Type;Nom;Prix Achat;Prix Vente €;Contenance;Photo;Stock;Max;Seuil;Allergies;Description;
Spiritueux;Kir Royal;;9,7;4 cl;kirroyal.jpg;;;;Sulfites;Le kir royal est une variante du kir sauvignon, à base de crème de cassis et de champagne.;
Spiritueux;Mojito;;7,5;25 cl;mojito.jpg;;;;;Le Mojito est un cocktail à base de rhum, de citron vert et de feuilles de menthe fraîche.;
Spiritueux;Cuba Libre;;7,5;25 cl;cubalibre.jpg;;;;;Le Cuba libre est un cocktail à base de rhum, de citron vert et de cola, appelé aussi rhum-Coca.;
Spiritueux;Bloody Mary;;7,5;25 cl;bloodymary.jpg;;;;Céleri;Le Bloody Mary est un cocktail plus ou moins fortement pimenté et épicé selon les goûts, à base de vodka, de jus de tomate, de jus de citron et d'épices telles que piment, sauce Tabasco, sauce Worcestershire, poivre, sel au céleri…;
Spiritueux;Margarita;;7,5;25 cl;margarita.jpg;;;;Agave;La Margarita est un cocktail à base de tequila, cointreau et jus de citron.;
Spiritueux;Get 27;;4,7;6 cl;get27.jpg;;;;;Get 27 est une liqueur à la menthe à base d'huiles essentielles de menthe, d'alcool, d'eau et de sucre. Elle se déguste avec glaçons, ou diluée à l'eau.;
Spiritueux;Grappa;;5,7;4 cl;grappa.jpg;;;;;La grappa est une eau-de-vie de marc de raisin produite en Italie.;
Spiritueux;Vodka;;4,7;4 cl;vodka.jpg;;;;;La vodka est une boisson alcoolisée incolore de 40 degrés. Il s'agit généralement d'une eau-de-vie de pomme de terre ou de céréales.;
Spiritueux;Gin;;4,7;4 cl;gin.jpg;;;;Amande;Le gin est une boisson alcoolisée obtenue en aromatisant de l'alcool rectifié d'origine agricole avec des baies de genévrier.;
Spiritueux;Bacardi;;4,7;4 cl;bacardi.jpg;;;;;Le rhum blanc Bacardi est une eau-de-vie produite à partir de la canne à sucre.;
Spiritueux;Bailey's;;4,7;4 cl;baileys.jpg;;;;Lactose, Arachides;Baileys Irish Cream est une liqueur à base de whiskey irlandais et de crème.;
Spiritueux;Tequila;;5,8;4 cl;tequila.jpg;;;;Agave;La tequila est une boisson alcoolisée produite au Mexique à partir d'une plante nommée Agave tequilana. Servie avec un quart de citron et du sel.;
Spiritueux;William Lawson;;4,7;4 cl;williamlawson.jpg;;;;;William Lawson est ce qu'on appelle un blend, c'est-à-dire un mélange de plusieurs sortes de whisky.;
Spiritueux;Jack Daniel's;;5,5;4 cl;jackdaniels.jpg;;;;;Le Jack Daniel’s est un Tennessee Whisky, il est fabriqué majoritairement à base de maïs et répond à tous les critères d’appellation du bourbon. On peut très bien être un bourbon et avoir quelque chose en nous de Tennessee.;
Spiritueux;Amaretto;;4,7;4 cl;amaretto.jpg;;;;Amande;L'amaretto est un digestif avec un léger parfum d'amandes amères, originaire d'Italie.;
Spiritueux;Cognac;;4,7;4 cl;cognac.jpg;;;;;Le cognac est une eau-de-vie fine à base de raisin, et vieillie pendant au moins deux ans et demi en fûts de chêne. ;
Spiritueux;Calvados;;6,6;4 cl;calvados.jpg;;;;;Le calvados est une eau-de-vie d'origine normande obtenue par distillation de cidre ou de poiré.;
Spiritueux;Cointreau;;6,6;4 cl;cointreau.jpg;;;;;Le cointreau est une liqueur à base d'écorces d'oranges douces et amères proche du triple sec.;
Spiritueux;Limoncello;;5,3;4 cl;limoncello.jpg;;;;;Le limoncello est une liqueur de citron obtenu par macération d'écorces de citron dans l'alcool ou la grappa.;
Vins;Blanc Verre;;4;12 cl;;;;;;;
Vins;Blanc 1/4;;7,5;25 cl;;;;;;;
Vins;Blanc 1/2;;14;50 cl;;;;;;;
Vins;Blanc Bouteille;;20;75 cl;;;;;;;
Vins;Rosé Verre;;4;12 cl;;;;;;;
Vins;Rosé 1/4;;7,5;25 cl;;;;;;;
Vins;Rosé 1/2;;14;50 cl;;;;;;;
Vins;Rosé Bouteille;;20;75 cl;;;;;;;
Vins;Rouge Verre;;4;12 cl;;;;;;;
Vins;Rouge 1/4;;7,5;25 cl;;;;;;;
Vins;Rouge 1/2;;14;50 cl;;;;;;;
Vins;Rouge Bouteille;;20;75 cl;;;;;;;
