Type;Nom;Prix Achat;Prix Vente;Contenance;Photo;Stock;Max;Seuil;Allergies;Description
Softs;Eau Spa;0,35;2,3;25 cl;spa.jpg;43;72;24;;L'eau de Spa est une eau minérale belge plate exploitée depuis plusieurs sources à Spa en province de Liège. Elle est produite par Spa Monopole S.A. qui fait partie du groupe Spadel.
Softs;Eau Spa Pétillante;0,35;2,3;25 cl;spapetillante.jpg;57;72;24;;L'eau de Spa est une eau minérale belge pétillante exploitée depuis plusieurs sources à Spa en province de Liège. Elle est produite par Spa Monopole S.A. qui fait partie du groupe Spadel
Softs;Eau San Pellegrino 50cl;0,7;4,2;50 cl;sanpellegrino.jpg;41;48;12;;Eau minérale originaire de la source de San Pellegrino en Italie, avec adjonction de gaz carbonique naturel.
Chaudes;Café Petit;0,2;1,5;Petit;cafe.jpg;22;60;20;Histamine;Café de type Expresso très corsé avec un fort arôme, obtenu par percolation sous haute pression.
Chaudes;Café Grand;0,35;2,3;Grand;cafe.jpg;25;60;20;Histamine;Double Expresso, café très corsé avec un fort arôme, obtenu par percolation sous haute pression.
Chaudes;Café Crème Petit;0,25;1,7;Petit;cafe.jpg;34;60;20;Lactose, Histamine;Café simple dans lequel on ajoute un nuage de crème fraîche.
Chaudes;Café Crème Grand;0,42;2,5;Grand;cafe.jpg;32;60;20;Lactose, Histamine;Café double dans lequel on ajoute un nuage de crème fraîche.
Chaudes;Cappucino;0,42;2,5;Grand;cafe.jpg;41;60;20;Lactose, Histamine;Café servi dans une grande tasse, à base d'un expresso et coiffé de lait préalablement chauffé à la vapeur jusqu'à le faire mousser. Il est saupoudré d'un peu de chocolat amer.
Chaudes;Café Décaféiné;0,4;2,4;Grand;cafe.jpg;43;50;12;Histamine;Café sans caféine.
Chaudes;Thé;0,4;2,4;Grand;the.jpg;35;50;12;;Thé préparé à base d'infusion. Goûts disponibles : menthe, thé vert ou jasmin.
Chaudes;Chocolat Chaud;0,47;2,7;Grand;chocolat.jpg;26;50;12;Lactose, Histamine;Boisson chaude constituée de chocolat fondu dans du lait demi-écrémé.
Bières;Jupiler 25cl;0,35;2,3;25 cl;jupiler.jpg;97;120;48;Gluten;Bière belge blonde de fermentation basse de type pils. Servie à la pression, dans un verre de 25 cl. Degrés d'alcool : 5,2°
Bières;Jupiler 33cl;0,5;2,8;33 cl;jupiler.jpg;49;96;32;Gluten;Bière belge blonde de fermentation basse de type pils. Servie à la pression, dans un verre de 33 cl. Degrés d'alcool : 5,2°
Bières;Jupiler 50cl;0,7;4,2;50 cl;jupiler.jpg;58;72;24;Gluten;Bière belge blonde de fermentation basse de type pils. Servie à la pression, dans un verre de 50 cl. Degrés d'alcool : 5,2°
Bières;Leffe Blonde;0,55;3,6;33 cl;leffeblonde.jpg;36;48;12;Gluten;Leffe Blonde est une authentique bière blonde d’Abbaye à la douce amertume qui se savoure à tout moment de la journée. Servie à la pression. Degrés d'alcool : 6,6°
Bières;Leffe Brune;0,55;3,6;33 cl;leffebrune.jpg;21;24;6;Gluten;Leffe Brune est une authentique bière d’Abbaye à la belle robe acajou et à la saveur pleine et légèrement sucrée qui fait de chaque gorgée un moment d’exception. Une couleur et une saveur uniques provenant de l’utilisation de malt torréfié. Servie à la pression. Degrés d'alcool : 6,5°
Bières;Hoegarden Blanche;0,42;2,5;25 cl;hoegaardenblanche.jpg;25;48;12;Gluten;La Hoegaarden Blanche est brassée avec de la coriandre et des zestes de citron pour plus de recherche de goût et de fraîcheur. Elle présente une intrigante robe d'un blond troublé qui s'explique par le fait que cette bière n'est pas filtrée. Servie à la pression, accompagnée d'une rondelle de citron. Degrés d'alcool : 4,9°
Bières;Hoegarden Rosée;0,51;3;25 cl;hoegaardenrosee.jpg;19;48;12;Gluten;Elle présente un arôme naturel de framboise prononcé et des touches subtiles d’épices et de coriandre. Comme la blanche originale, la Hoegaarden Rosée est non filtrée, ce qui lui donne son aspect trouble. Degrés d'alcool : 3°
Bières;Carlsberg;0,52;3,1;25 cl;carlsberg.jpg;39;72;24;Gluten;La bière Carlsberg se révèle sous une robe blonde claire mais aussi brillante. Elle se distingue par son éclat, sa fraicheur, sa fine carbonatation avec ses fines bulles. En bouche, la Carlsberg révèle de surprenants arômes. Degrés d'alcool : 5°
Bières;Bush 12° Ambrée;0,54;3,5;25 cl;bush.jpg;13;24;6;Gluten;La Bush Ambrée figure parmi les bières très fortes de Belgique. C'est une bière ambrée filtrée de haute fermentation. Elle libère dans le verre des arômes très fruités de malt et de caramel qui s'accompagnent d'effluves d'alcool. Degrés d'alcool : 12°
Bières;Leffe Triple;0,7;4,2;33 cl;leffetriple.jpg;19;24;6;Gluten;Leffe Triple est une authentique bière blonde d’Abbaye de caractère qui, grâce à la présence de levure, a bénéficié d’une refermentation en bouteille. Elle offre un arôme riche et nuancé. Degrés d'alcool : 8,5°
Bières;Chimay Bleue;0,7;4,2;33 cl;chimaybleue.jpg;17;48;12;Gluten;La Chimay Bleue est la plus forte et la plus complexe des bières trappistes de l'abbaye de Notre Dame de Scourmont Elle offre un bouquet d'épices et un nez fruité, très caractéristique de la Chimay. Degrés d'alcool : 9°
Bières;Cuvée des Trolls;0,52;3,1;33 cl;trolls.jpg;8;24;6;Gluten;La Cuvée des Trolls est aromatisée avec des écorces d’oranges séchées. Elles donnent à cette bière une note de fraîcheur et des arômes particulièrement agréables et fruités. Degrés d'alcool : 7°
Bières;Desperados;0,65;4,1;33 cl;desperados.jpg;34;72;24;Gluten;La bière Desperados est une blonde légère, aromatisée à la tequila. Cette bière est un produit spécial qui est à la limite entre cocktail alcoolisé et bière légère. Degrés d'alcool : 5,9°
Bières;Gueuze Belle Vue;0,51;3;33 cl;bellevue.jpg;21;24;6;Gluten;La Gueuze Bellevue est une bière de fermentation spontanée. Elle est composée d'un mélange de lambics jeunes et de lambic plus âgés. Son goût est a à la fois léger, doux, et amèr et sûre. Degrés d'alcool : 5,2°
Bières;Tripel Karmeliet;0,55;3,6;33 cl;karmeliet.jpg;34;48;12;Gluten;La bière Triple Karmeliet est l'un des grands classiques des bières belges. A la dégustation, cette bière belge présente une robe blonde dorée et une mousse crémeuse. Degrés d'alcool : 8°
Bières;Lindemans Pêche;0,65;4,1;25 cl;lindemans.jpg;18;24;6;Gluten;Cette Lindemans est une bière de type lambic, brassée à base de malts d'orge, de blé et avec ajout de jus de pêche avant une période de maturation en fût de chêne. Degrés d'alcool : 2,5°
Bières;Rochefort 8°;0,75;4,6;33 cl;rochefort8.jpg;23;48;12;Gluten;La Rochefort 8 est une bière trappiste originale et aromatisée. D'abord piquante, puis douce, la dégustation de cette bière se fait avec grand plaisir grâce à la rondeur apportée par le caramel et le chocolat. Degrés d'alcool : 9,2°
Bières;Rochefort 10°;0,86;5,6;33 cl;rochefort10.jpg;31;48;12;Gluten;La Rochefort 10° est une bière Trappiste brune. C'est la bière la plus alcoolisée des bières de l'abbaye de Rochefort et c'est aussi la plus riche. Degrés d'alcool : 11,3°
Bières;Westmalle Triple;0,71;4,3;33 cl;westmalle.jpg;19;48;12;Gluten;Ouvrez vous à ce qui est sans aucun doute l'une des bières trappistes les plus complexes qui existent avec cette Westmalle Triple. Degrés d'alcool : 9,5°
Bières;Val Dieu Triple;0,73;4,5;33 cl;valdieu.jpg;41;48;12;Gluten;La Val Dieu Triple est une bière belge de haute fermentation brassée à l'Abbaye du Val-Dieu à Aubel suivant une recette inspirée de celle utilisée par les moines brasseurs. Cette bière à la robe blonde limpide légèrement trouble cache de fines bulles et présente une belle mousse blanche onctueuse. Degrés d'alcool : 9°
Bières;Chouffe;0,65;4,1;33 cl;chouffe.jpg;35;48;12;Gluten;La Chouffe est une bière blonde non filtrée, refermentée trois fois en bouteille. Elle est agréablement fruitée, épicée à la coriandre et légèrement houblonnée. Degrés d'alcool : 8°
Bières;Orval;0,77;4,7;33 cl;orval.jpg;17;48;12;Gluten;L'Orval est une bière trappiste de dégustation, à la belle couleur orangée et présentant un beau nez aromatique. C'est une bière à l'arôme houblonné intense qui dévoile une légère acidité astringente et gagne à mûrir en cave pendant quelques années, debout et à l'abri de la lumière. Degrés d'alcool : 6,2°
Bières;Duvel;0,63;4;33 cl;duvel.jpg;33;48;12;Gluten;La bière Duvel est une bière belge fruitée dont la réputation n'est plus à faire. L'ensemble apparait extrêmement fruité quoi que faiblement sucré et l'harmonie des saveurs en fait oublier la présence de l'alcool dans cette bière blonde. Degrés d'alcool : 8,5°
Bières;Gauloise Blonde;0,51;3;33 cl;gauloiseblonde.jpg;37;48;12;Gluten;Vous serez vite conquis par sa jolie robe blonde dorée et sa mousse fine et crémeuse. En bouche, cette Gauloise blonde présente des saveurs fruitées accompagnées de pointes épicées. Degrés d'alcool : 6,3°
Bières;Gauloise Ambrée;0,51;3;33 cl;gauloiseambree.jpg;32;48;12;Gluten;La Gauloise Ambrée se caractérise par son arôme houblonné. Elle vous procurera un éventail de saveurs variées. Elle est très digeste et rafraîchissante. Degrés d'alcool : 5,5°
Bières;Gauloise Brune;0,51;3;33 cl;gauloisebrune.jpg;15;24;6;Gluten;Son malt torréfié lui donne une saveur caramélisée avec des notes de caramel, de chocolat et d'épices. Elle se caractérise par un équilibre savoureux. Degrés d'alcool : 8,1°
Spiritueux;Pastis Ricard;0,73;4,5;4 cl;pastis.jpg;22;40;10;Lactose;Le Pastis Ricard est une boisson alcoolisée parfumée à l'anis et à la réglisse. Il se boit en apéritif, complété avec de l'eau. On ajoute généralement de cinq à sept volumes d'eau fraîche pour un volume de pastis.
Spiritueux;Martini;0,6;3,9;4 cl;martini.jpg;26;40;10;Sulfite;Martini est une marque de vermouth italien. Il se consomme avec de la glace, du citron ou en cocktail. Goûts disponibles : Rosso ou Bianco.
Spiritueux;Martini Royale;0,8;5;4 cl;martiniroyale.jpg;13;40;10;Sulfite;Martini Royale est un apéritif à base de vin, inspiré du fameux cocktail, mix inédit entre la douce amertume de Martini Bianco ou Rosso et la vive pétillance de MARTINI Prosecco.
Spiritueux;Campari;0,73;4,5;4 cl;campari.jpg;28;40;10;Carmine;Campari est l'apéritif par excellence. Son goût doux-amer typique provient de plantes, de fruits et d'herbes, associés à du sucre et de l'eau distillée.
Spiritueux;Pisang;0,73;4,5;4 cl;pisang.jpg;35;40;10;Histamine;Le Pisang est une liqueur de banane verte et fruits tropicaux, de couleur vert vif, dont la recette est basée sur une liqueur indonésienne. 
Spiritueux;Porto;0,65;4,1;4 cl;porto.jpg;18;40;10;Sulfite;Le porto est certainement le vin muté le plus célèbre. Comme les autres vins mutés, on l’élabore en ajoutant de l’alcool au moût durant la fermentation.
Spiritueux;Pineau des Charentes;0,6;3,9;4 cl;pineau.jpg;34;40;10;Sulfite;Le pineau des Charentes est une mistelle, vin de liqueur de qualité, obtenue par mélange de moût et d'eau-de-vie de cognac.
Spiritueux;Picon;0,72;4,4;4 cl;picon.jpg;31;40;10;Colorant E150b;Le Picon est un amer, de couleur caramel qui accompagne traditionnellement la bière.
Spiritueux;Kir Sauvignon;0,71;4,3;4 cl;kir.jpg;23;40;10;Sulfite;Le kir ou blanc-cassis est un cocktail traditionnel de la cuisine bourguignonne, à base de crème de cassis et de bourgogne aligoté.
Spiritueux;Kir Royal;1,56;9,7;4 cl;kirroyal.jpg;19;40;10;Sulfite;Le kir royal est une variante du kir sauvignon, à base de crème de cassis et de champagne.
Spiritueux;Mojito;1,15;7,5;25 cl;mojito.jpg;35;50;12;;Le Mojito est un cocktail à base de rhum, de citron vert et de feuilles de menthe fraîche.
Spiritueux;Cuba Libre;1,15;7,5;25 cl;cubalibre.jpg;41;50;12;;Le Cuba libre est un cocktail à base de rhum, de citron vert et de cola, appelé aussi rhum-Coca.
Spiritueux;Bloody Mary;1,15;7,5;25 cl;bloodymary.jpg;44;50;12;Céleri;Le Bloody Mary est un cocktail plus ou moins fortement pimenté et épicé selon les goûts, à base de vodka, de jus de tomate, de jus de citron et d'épices telles que piment, sauce Tabasco, sauce Worcestershire, poivre, sel au céleri…
Spiritueux;Margarita;1,15;7,5;25 cl;margarita.jpg;42;50;12;Agave;La Margarita est un cocktail à base de tequila, cointreau et jus de citron.
Spiritueux;Get 27;0,77;4,7;6 cl;get27.jpg;38;50;12;;Get 27 est une liqueur à la menthe à base d'huiles essentielles de menthe, d'alcool, d'eau et de sucre. Elle se déguste avec glaçons, ou diluée à l'eau.
Spiritueux;Grappa;0,87;5,7;4 cl;grappa.jpg;32;50;12;;La grappa est une eau-de-vie de marc de raisin produite en Italie.
Spiritueux;Vodka;0,77;4,7;4 cl;vodka.jpg;26;40;10;Gluten;La vodka est une boisson alcoolisée incolore de 40 degrés. Il s'agit généralement d'une eau-de-vie de pomme de terre ou de céréales.
Spiritueux;Gin;0,77;4,7;4 cl;gin.jpg;29;40;10;Amande;Le gin est une boisson alcoolisée obtenue en aromatisant de l'alcool rectifié d'origine agricole avec des baies de genévrier.
Spiritueux;Bacardi;0,77;4,7;4 cl;bacardi.jpg;25;40;10;;Le rhum blanc Bacardi est une eau-de-vie produite à partir de la canne à sucre.
Spiritueux;Bailey's;0,77;4,7;4 cl;baileys.jpg;28;30;5;Lactose, Arachides;Baileys Irish Cream est une liqueur à base de whiskey irlandais et de crème.
Spiritueux;Tequila;0,88;5,8;4 cl;tequila.jpg;31;40;10;Agave;La tequila est une boisson alcoolisée produite au Mexique à partir d'une plante nommée Agave tequilana. Servie avec un quart de citron et du sel.
Spiritueux;William Lawson;0,77;4,7;4 cl;williamlawson.jpg;22;40;10;Gluten;William Lawson est ce qu'on appelle un blend, c'est-à-dire un mélange de plusieurs sortes de whisky.
Spiritueux;Jack Daniel's;0,85;5,5;4 cl;jackdaniels.jpg;18;40;10;Gluten;Le Jack Daniel’s est un Tennessee Whisky, il est fabriqué majoritairement à base de maïs et répond à tous les critères d’appellation du bourbon. On peut très bien être un bourbon et avoir quelque chose en nous de Tennessee.
Spiritueux;Amaretto;0,77;4,7;4 cl;amaretto.jpg;24;40;10;Amande;L'amaretto est un digestif avec un léger parfum d'amandes amères, originaire d'Italie.
Spiritueux;Cognac;0,77;4,7;4 cl;cognac.jpg;28;40;10;;Le cognac est une eau-de-vie fine à base de raisin, et vieillie pendant au moins deux ans et demi en fûts de chêne. 
Spiritueux;Calvados;1,05;6,6;4 cl;calvados.jpg;33;40;10;;Le calvados est une eau-de-vie d'origine normande obtenue par distillation de cidre ou de poiré.
Spiritueux;Cointreau;1,05;6,6;4 cl;cointreau.jpg;27;40;10;;Le cointreau est une liqueur à base d'écorces d'oranges douces et amères proche du triple sec.
Spiritueux;Limoncello;0,83;5,3;4 cl;limoncello.jpg;35;40;10;;Le limoncello est une liqueur de citron obtenu par macération d'écorces de citron dans l'alcool ou la grappa.
Vins;Blanc Verre;0,63;4;12 cl;vinblanc.jpg;32;50;12;Sulfite;Vin blanc de France région Languedoc-Roussillon. Nez fruité de poires suivi de fruits exotiques. Caractère sec. Au verre.
Vins;Blanc 1/4;1,15;7,5;25 cl;vinblanc.jpg;27;50;12;Sulfite;Vin blanc de France région Languedoc-Roussillon. Nez fruité de poires suivi de fruits exotiques. Caractère sec. Pichet un quart.
Vins;Blanc 1/2;2,15;14;50 cl;vinblanc.jpg;41;50;12;Sulfite;Vin blanc de France région Languedoc-Roussillon. Nez fruité de poires suivi de fruits exotiques. Caractère sec. Pichet un demi. 
Vins;Blanc Bouteille;3;20;75 cl;vinblanc.jpg;17;24;6;Sulfite;Vin blanc de France région Languedoc-Roussillon. Nez fruité de poires suivi de fruits exotiques. Caractère sec. Bouteille 75cl.
Vins;Rosé Verre;0,63;4;12 cl;vinrose.jpg;31;50;12;Sulfite;Vin rosé de France région Côtes-du-Rhône. Nez fruité, notes de fruits rouges. Bouteille 75cl.
Vins;Rosé 1/4;1,15;7,5;25 cl;vinrose.jpg;35;50;12;Sulfite;Vin rosé de France région Côtes-du-Rhône. Nez fruité, notes de fruits rouges. Bouteille 75cl.
Vins;Rosé 1/2;2,15;14;50 cl;vinrose.jpg;29;50;12;Sulfite;Vin rosé de France région Côtes-du-Rhône. Nez fruité, notes de fruits rouges. Bouteille 75cl.
Vins;Rosé Bouteille;3;20;75 cl;vinrose.jpg;21;24;6;Sulfite;Vin rosé de France région Côtes-du-Rhône. Nez fruité, notes de fruits rouges. Bouteille 75cl.
Vins;Rouge Verre;0,63;4;12 cl;vinrouge.jpg;33;50;12;Sulfite, Histamine;Vin rouge de France région Beaujolais. Nez expressif de cerises, fruits des bois. Bouteille 75cl.
Vins;Rouge 1/4;1,15;7,5;25 cl;vinrouge.jpg;42;50;12;Sulfite, Histamine;Vin rouge de France région Beaujolais. Nez expressif de cerises, fruits des bois. Bouteille 75cl.
Vins;Rouge 1/2;2,15;14;50 cl;vinrouge.jpg;35;50;12;Sulfite, Histamine;Vin rouge de France région Beaujolais. Nez expressif de cerises, fruits des bois. Bouteille 75cl.
Vins;Rouge Bouteille;3;20;75 cl;vinrouge.jpg;12;24;6;Sulfite, Histamine;Vin rouge de France région Beaujolais. Nez expressif de cerises, fruits des bois. Bouteille 75cl.
